Index Number,Volume,Title,Notes,,,,,,
00140,Vol. 4,"Union School, ca 1915",,,,,,,
00141,Vol. 4,"Duck Hunting, ca 1920",,,,,,,
00142,Vol. 4,"Lincoln School, ca 1920",,,,,,,
00143,Vol. 4,"Native Son Circus Booklet, August, 1905",,,,,,,
00144,Vol. 4,"St. Mary's School, ca 1920",,,,,,,
00145,Vol. 4,"Intersection of E. 14th & Washington at Davis, 1964",,,,,,,
00146,Vol. 4,"Cherry Carnival Parade, 1909",,,,,,,
00147,Vol. 4,"Lincoln School, 1917",,,,,,,
00148,Vol. 4,"Lincoln School, ca 1925",,,,,,,
00149,Vol. 4,"Club House, ca 1910",,,,,,,
00150,Vol. 4,"The Eagle Saloon, ca 1920",,,,,,,
00151,Vol. 4,"Faculty of San Leandro Grammar School, ca 1920",,,,,,,
00152,Vol. 4,"Early Farmers in San Leandro take product to market, 1890",,,,,,,
00153,Vol. 4,"Union School Graduating Class, 1909",,,,,,,
00154,Vol. 4,"San Leandro Boys' Picnic and Barbecue at Lake Chabot, 1890",,,,,,,
00155,Vol. 4,"Dutra Family and Home, ca 1890",,,,,,,
00156,Vol. 4,"Graduating Class Union School, 1897",,,,,,,
00157,Vol. 4,"C. L. Best Gas Traction Co., 1915",,,,,,,
00158,Vol. 4,"Grocery Store, ca 1900",,,,,,,
00159,Vol. 4,"San Leandro Savings Bank, ca 1920",,,,,,,
00160,Vol. 4,"U.P.E.C. Building, 1969",,,,,,,
00161,Vol. 5,"Faculty of San Leandro Grammar School, ca 1920",,,,,,,
00162,Vol. 5,"Political Group, ca 1930",,,,,,,
00163,Vol. 5,"Cherry Festival Carnival, ca 1915",,,,,,,
00164,Vol. 5,San Leandro Fire Dept. ca 1915,,,,,,,
00165,Vol. 5,"San Leandro H. S. Basketball Team, 1941",,,,,,,
00166,Vol. 5,"Class, Union School, ca 1920",,,,,,,
00167,Vol. 5,"Eber Home, ca 1900",,,,,,,
00168,Vol. 5,"U.P.E.C. Building, (1966 more likely, 1964)",,,,,,,
00169,Vol. 5,"U.P.E.C. Building, 1966",,,,,,,
00170,Vol. 5,"Early Home, ca 1890",,,,,,,
00171,Vol. 5,"Beer Bust, ca 1900",,,,,,,
00172,Vol. 5,"Early Standard Station at the Point, ca 1920",,,,,,,
00173,Vol. 5,"Best Theatre, ca 1920",,,,,,,
00174,Vol. 5,"Industrial Area, Aerial View, 10/2/51",,,,,,,
00175,Vol. 5,"Olimpia Groceries, ca 1890",,,,,,,
00176,Vol. 5,"U.P.E.C. Officers Pose in Front of City Hall, 1888",,,,,,,
00177,Vol. 5,"Early Auto (Buick), ca 1920",,,,,,,
00178,Vol. 5,"Club Iberico Cherry Carnival Parade, ca 1925",,,,,,,
00179,Vol. 5,"Plaza Flagpole, March 6, 1897",,,,,,,
00180,Vol. 5,"East 14th Street, ca 1920",,,,,,,
00181,Vol. 5,"City Plaza, ca 1930",,,,,,,
00182,Vol. 5,"Old Covered Bridge, ca 1890",,,,,,,
00183,Vol. 5,"Plaza Building, ca 1966",,,,,,,
00184,Vol. 5,"Sweepstake Plow Co., ca 1880",,,,,,,
00185,Vol. 5,"San Leandro Boy's Club Band, 1909-1910",,,,,,,
00186,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00187,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00188,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00189,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00190,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00191,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00192,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00193,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00194,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00195,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00196,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00197,Vol. 5,"Circus Program, Aug. 1905",,,,,,,
00198,Vol. 5,"Still During Prohibition, the Result of 1917 a Raid",,,,,,,
00199,Vol. 5,"Cherry Carnival, ca 1909",,,,,,,
00200,Vol. 5,NR,,,,,,,
00201,Vol. 6,Gannon Clothing Store,,,,,,,
00202,Vol. 6,"E. 14th and Ward Sts., 1908",,,,,,,
00203,Vol. 6,Junction House,,,,,,,
00204,Vol. 6,San Leandro Band ,,,,,,,
00205,Vol. 6,"H. J. Eber Meat Co., 1900(?)",,,,,,,
00206,Vol. 6,J. B. C. Schmidt,,,,,,,
00207,Vol. 6,Callan and E. 14th St.,,,,,,,
00208,Vol. 6,"Eber's Meat Market, December, 1909",,,,,,,
00209,Vol. 6,"E. 14th St. & Estudillo Ave., 1906",,,,,,,
00210,Vol. 6,"Lincoln School Class Picture, May 1924",,,,,,,
00211,Vol. 6,"Marina Dredging, ca 1950",,,,,,,
00212,Vol. 6,"Small Craft Harbor Commission, 1959",,,,,,,
00213,Vol. 6,"E. 14th St. & Chumalia, ca 1965",,,,,,,
00214,Vol. 6,"Old Timers Baseball Team, 1965",,,,,,,
00215,Vol. 6,"Capt. Steve Lagomarsino, 1960",,,,,,,
00216,Vol. 6,"Old Timers Baseball Team, 1967",,,,,,,
00217,Vol. 6,1300 Block on E. 14th St.,,,,,,,
00218,Vol. 6,"Joaquin Ave., 1966",,,,,,,
00219,Vol. 6,San Leandro Plaza,,,,,,,
00220,Vol. 6,Union School Class,,,,,,,
00221,Vol. 6,San Leandro Memorial Hospital,,,,,,,
00222,Vol. 6,"Union School, 1897",,,,,,,
00223,Vol. 6,"Union School, 1895",,,,,,,
00224,Vol. 6,"Best Mfg. Co. Workers, 1895",,,,,,,
00225,Vol. 6,"W. Estudillo & Washington Ave., 1968",,,,,,,
00226,Vol. 6,"Mr. Obotelo, Local Florist (on right)",,,,,,,
00227,Vol. 6,W. Estudillo & Washington Ave.,,,,,,,
00228,Vol. 6,"San Leandro Plaza, 1967",,,,,,,
00229,Vol. 6,Bayo Vista Overlooking City,,,,,,,
00231,Vol. 6,Capitol Bar,,,,,,,
00232,Vol. 6,"Grand Opening of San Leandro Marina, 1959",,,,,,,
00233,Vol. 6,"First Mesonic Temple Club, 1966",,,,,,,
00234,Vol. 6,"Aerial View of San Leandro, ca 1965",,,,,,,
00235,Vol. 6,"Saint Leander's Church, 1967",,,,,,,
00236,Vol. 6,"San Leandro Plaza, 1899",,,,,,,
00237,Vol. 6,"Law Offices, 267 Estudillo, ca 1951",,,,,,,
00238,Vol. 6,"Felling of Tree 198th(?) Ave. Oakland, ca 1900",,,,,,,
00239,Vol. 6,"San Leandro Fleet, ca 1896",,,,,,,
00240,Vol. 6,"San Leandro Shoreline, ca 1920",,,,,,,
00241,Vol. 7,"Best Steam Tractor Parrott Street, ca 1905",,,,,,,
00242,Vol. 7,Harold ( Hal) Perry,,,,,,,
00243,Vol. 7,San Leandro Fire Dept. ca 1905,,,,,,,
00244,Vol. 7,"Harold Perry, 8 (?) yrs. Old",,,,,,,
00245,Vol. 7,San Leandro Fire Dept.,,,,,,,
00246,Vol. 7,Paint Shop on Chumalia St.,,,,,,,
00247,Vol. 7,Pea Pickers (Marina area),,,,,,,
00249,Vol. 7,"Oyster Beds, Mulford's Landing?",,,,,,,
00250,Vol. 7,Garcia Motor Transport Co. ca 1925,,,,,,,
00251,Vol. 7,"Masonic Building, ca 1924",,,,,,,
00252,Vol. 7,"Hal Perry, Wife & Child",,,,,,,
00253,Vol. 7,Hal Perry ,,,,,,,
00254,Vol. 7,George Mendonca and Parents,,,,,,,
00255,Vol. 7,Col Hastings Biography,,,,,,,
00256,Vol. 7,"Mathews & Boitano Billiard Parlor, ca 1930",,,,,,,
00257,Vol. 7,Hal Perry's Grandparents ('The Great Gildersleeve'),,,,,,,
00258,Vol. 7,"St. Mary's Convent, ca 1900",,,,,,,
00259,Vol. 7,NR,,,,,,,
00260,Vol. 7,"Masonic Bldg., ca 1965",,,,,,,
00261,Vol. 7,Biography of Abel Bettencourt,,,,,,,
00262,Vol. 7,Borman's Grocery Store,,,,,,,
00263,Vol. 7,"St. Mary's 7th Grade Report Card for Mary Rose, June 1905",,,,,,,
00264,Vol. 7,Early San Leandro Resident,,,,,,,
00265,Vol. 7,"Allen E. Pelton, Real Estate, 1915-1917",,,,,,,
00266,Vol. 7,Electric Street Car,,,,,,,
00267,Vol. 7,"Best Manufacturing Co., ca 1905",,,,,,,
00268,Vol. 7,View from Bay-O-Vista Overlooking S. L.,,,,,,,
00269,Vol. 7,"Eber's Meat Market, ca 1900",,,,,,,
00270,Vol. 7,"Cherry Carnival Parade, ca 1920",,,,,,,
00271,Vol. 7,"San Leandro Merchants, 1925",,,,,,,
00272,Vol. 7,First Presbyterian Church Group,,,,,,,
00273,Vol. 7,"Eber's Meat Market, 1875",,,,,,,
00274,Vol. 7,Catefpillar Tractor Co. Crew,,,,,,,
00275,Vol. 7,"Bancroft Jr. High School, 1966",,,,,,,
00276,Vol. 7,Early San Leandro Resident,,,,,,,
00277,Vol. 7,"Estudillo Ave. looking West, 1965",,,,,,,
00278,Vol. 7,"Lake Merrit, Oakland, 1880",,,,,,,
00279,Vol. 7,San Leandro Plaza,,,,,,,
00280,Vol. 7,"Union School, Class of 1897",,,,,,,
